"species","prop_s_plot.trend","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"Downy",2.44443115444125,1.71659235374715,Inf,-0.920028035040013,5.80889034392251,1.42400212205611,0.154445857783649
"Silver",-0.500378015380051,1.77787996716634,Inf,-3.98495871986134,2.98420268910123,-0.281446455678093,0.778367990972408
