"region","species","n_observations","n_stands","mean_damage","se_damage","mean_stems","total_stems"
"South","Downy",316,52,16.36,1.48,9.86,3116
"South","Silver",798,93,12.21,0.7,10.87,8678
"Centre","Downy",773,96,7.53,0.49,12.84,9928
"Centre","Silver",547,79,16.35,0.95,7.88,4310
"North","Downy",1044,118,14.37,0.68,15.81,16505
"North","Silver",615,88,28.75,1.08,7.19,4421
