"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"update(m_plot_additive, REML = FALSE)",11,34173.2702117173,34242.3301289177,-17075.6351058587,34151.2702117173,NA,NA,NA
"update(m_plot_nested, REML = FALSE)",15,34050.7213509309,34144.8939652951,-17010.3606754655,34020.7213509309,130.548860786359,4,2.97181023894509e-27
