"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"update(m_plot_height, REML = FALSE)",14,34052.9611466453,34140.8555867186,-17012.4805733227,34024.9611466453,NA,NA,NA
"update(m_plot_nested, REML = FALSE)",15,34050.7213509309,34144.8939652951,-17010.3606754655,34020.7213509309,4.23979571440577,1,0.039486918058699
