"species","region","slope","SE","df","lower_CI","upper_CI","t.ratio","p_value"
"Downy","South",21.56,6.91,783.332043575139,8.01,35.12,3.12,0.00186
"Silver","South",-8.16,5.44,787.506496838992,-18.84,2.52,-1.5,0.134
"Downy","Centre",1.95,5.95,784.610613913686,-9.72,13.63,0.33,0.743
"Silver","Centre",3.23,6.34,785.766441297747,-9.21,15.67,0.51,0.61
"Downy","North",6.81,4.04,786.376580710319,-1.12,14.74,1.69,0.0924
"Silver","North",3.36,4.21,784.111572990577,-4.89,11.62,0.8,0.424
