"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"update(m_region_plot_height, REML = FALSE)",20,34032.546254096,34158.1097399148,-16996.273127048,33992.546254096,NA,NA,NA
"update(m_region_nested, REML = FALSE)",21,34030.3025682871,34162.1442283969,-16994.1512841435,33988.3025682871,4.24368580890587,1,0.0393965497893849
