"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"update(m_region_additive, REML = FALSE)",12,34176.6139562338,34251.9520477251,-17076.3069781169,34152.6139562338,NA,NA,NA
"update(m_region_nested, REML = FALSE)",21,34030.3025682871,34162.1442283969,-16994.1512841435,33988.3025682871,164.311387946713,9,9.42955469733795e-31
